Date,Item Total,Baked Goods qty,Alcohol qty,Grocery qty,Produce qty,Meat qty,Service deli qty,Dairy-Deli (frz/refrig) qty,Gen Merch qty,Seafood qty,Misc qty,Coupon qty,Misc cost,Alcohol Cost,Baked Goods cost,Seafood cost,Meat cost,Grocery cost,Produce cost,Service Deli cost,Dairy-Deli cost,Gen Merch cost,Coupon Cost,Cost (total),Taxes,Checkout Time,Cashier,Day of the Week,Total Savings,Terminal
8/14/2020,3,,,1,1,,,,1,,,,,,,,,5.99,1.99,,,3.99,,12.46,,12:46:00 PM,Self Serve,Friday,0.5,
8/16/2020,38,1,,8,6,9,,11,3,,,2,,,2.99,,62.33,17.78,16,,38.52,11.83,,114.27,0.93,8:09:12 AM,Jacqui,Sunday,55.21,5
8/21/2020,8,1,,1,,,1,4,1,,,,,,3.49,,,2.99,,5.49,10.85,0.1,,22.92,0,4:13:21 PM,FastLane1,Friday,3.54,Self
8/23/2020,4,,,4,,,,,,,,,,,,,,15.36,,,,,,15.36,0,2:42:48 PM,FastLane1,Sunday,1.9,Self
8/23/2020,34,1,,15,6,5,,7,,,,,,,3.49,,33.9,52.92,12.1,,23.58,,1.5,125.3,0.79,8:04:30 AM,Theresa,Sunday,17.07,7
8/30/2020,40,1,,11,11,4,1,12,,,,,,,1.89,,22.45,26.24,31.55,6.71,49.29,,1.89,134.24,0,8:07:52 AM,Alejandra,Sunday,17.32,7
9/6/2020,38,,,13,12,5,1,6,1,,,,,,,,43.44,40.83,33.02,11.99,21.72,2.5,,150.22,1.06,8:05:16 AM,Alejandra,Sunday,10.32,5
9/7/2020,41,1,,18,7,5,,9,1,,,,,,3.99,,42.21,49.48,15.48,,34.31,3.39,,149.59,0.73,8:37:49 AM,John B,Sunday,18.38,5
9/13/2020,29,,,8,5,8,1,7,,,,,,,,,77.99,11.27,15.35,5.99,28.06,,,138.48,0,8:28:47 AM,John B,Sunday,18.62,7
9/20/2020,44,,,17,8,9,,9,1,,,,,,,,62.05,44.17,19.72,,32.69,4.45,13.78,153.41,1.68,8:27:01 AM,Theresa,Sunday,32.01,7
10/4/2020,37,,,7,13,4,,11,2,,,,,,,,38.22,17.25,31.69,,49.69,6.28,,144.17,1.04,8:15:06 AM,Jacqui,Sunday,12.86,5
